CapabilityID,CapabilityName,ParentCapabilityID,Level,Description,OwnerOrg,ContactID,Status,EffectiveFrom,EffectiveTo
8.3.3.2.1.1,Qualification Standards,,Level 6,The ability to create standards that describe the minimum requirements necessary to perform the work in an occupational group.,,,,,
8.3.3.2.1.2,Occupational Group Definition ,,Level 6,The ability to organize jobs based on the nature of the functions they perform.,,,,,
8.3.3.2.1.3,Standard Development,,Level 6,The ability to create and manage a classification standard.,,,,,
8.3.3.2.2,Pay Equity Management,,Level 5,The ability to ensure that equal work is equal pay regardless of non job related factors. ,,,,,
8.3.3.3,Job Management,,Level 4,The ability to manage and maintain jobs.,,,,,
8.3.3.3.1,Job Design,,Level 5,The ability to organize jobs to achieve objectives.,,,,,
8.3.3.3.2,Job Description Management,,Level 5,The ability to describe the work required of a job.,,,,,
8.3.3.3.2.1,Standardized Job Description Management,,Level 6,The ability to describe and maintain the work done by a common group of jobs.,,,,,
8.3.3.3.2.2,Unique Job Description Management,,Level 6,The ability to describe the work of a unique job.,,,,,
8.3.3.3.2.3,Job Description Writing,,Level 6,"The ability to describe a jobs, knowledge requirements, skills, abilities, and the working conditions.",,,,,
8.3.3.3.3,Job Assessment,,Level 5,The ability to evaluate jobs.,,,,,
8.3.3.3.3.1,Job Validation Review,,Level 6,The ability to evaluate a job description against the work of an individual(s) in a position(s). ,,,,,
8.3.3.3.3.2,Classification Evaluation,,Level 6,The ability to evaluate a job based on a classification standard and determine group and level. ,,,,,
8.3.3.3.3.3,Classification Relativity,,Level 6,"The ability to ensure that jobs and positions, within and across departments, maintain their relative worth. ",,,,,
8.3.3.3.4,Job Conversion ,,Level 5,The ability to convert an existing occupational group to a new or revised occupational group in accordance with legislation. ,,,,,
8.3.3.4,Position Management,,Level 4,"The ability to facilitate the creation, identification and management of positions. ",,,,,
8.3.3.4.1,Position Creation Management,,Level 5,The ability to create a new position.,,,,,
8.3.3.4.2,Position Attribution Management,,Level 5,"The ability to manage a positions information. Examples include branch, division and section of the position, position OL, ",,,,,
8.3.3.4.3,Position Vacancy Management,,Level 5,The ability to maintain and review vacant positions. ,,,,,
8.3.4,Resourcing Management,,Level 3,"The ability to identify, attract. and hire qualified candidates for current and future resourcing needs within the organization.",,,,,
8.3.4.1,Resourcing Activity Management,,Level 4,The ability to plan and define the hiring strategy.,,,,,
8.3.4.1.1,Resourcing Activity Initiation,,Level 5,"The ability to determine and define the resourcing strategy including linking the workforce plan, determining resourcing method, creating the staffing file, and seeking proper authorization.",,,,,
8.3.4.1.2,Resourcing Requirements Idefinition,,Level 5,"The ability to determine the statement of merit criteria for a resourcing activity, including the essential and asset criteria, qualifications, operational requirements, organizational needs, and conditions of employment for a resourcing activity.",,,,,
8.3.4.1.3,Assessment Tools Management,,Level 5,"The ability to determine the assessment strategy, select the appropriate assessment tools, prepare the tools, and manage the assessment approach.",,,,,
8.3.4.2,Recruitment Management,,Level 4,The ability to identify and manage prospective candidates.,,,,,
8.3.4.2.1,Employment Opportunity Management,,Level 5,The ability to develop job postings and attract applicants for current and future positions. ,,,,,
8.3.4.2.1.1,Job Posting Management,,Level 6,"The ability to create a job posting according to the selected resourcing method, to publish, and promote it to attract potential applicants.",,,,,
8.3.4.2.1.2,Application Management ,,Level 6,"The ability for applicants to manage their profiles (personal and professional information, employment preferences), apply on job postings, manage their status, and receive communications from the hiring manager or HR representative.",,,,,
8.3.4.2.1.3,Applicant Management,,Level 6,"The ability to manage the applicants based on their profile information, employment preferences, and job posting applications (i.e., area of selection, priority management, employment preference). ",,,,,
8.3.4.2.2,Priority Management,,Level 5,The ability to ensure priority entitlements are respected throughout the resourcing activities. ,,,,,
8.3.4.2.2.1,Priority Entitlement Management,,Level 6,The ability to assign and manage priority entitlements to individuals meeting the specific conditions to be appointed in priority to all others.,,,,,
8.3.4.2.2.2,Priority Candidate Management,,Level 6,"The ability to refer persons with priority entitlements to job opportunities, or for persons with priority entitlements to self-refer to job opportunities, as well as the management of their candidacy to job opportunities.",,,,,
8.3.4.3,Candidate Assessment,,Level 4,The ability to assess candidates against the statement of merit criteria.,,,,,
8.3.4.3.1,Assessment Management,,Level 5,The ability to manage and coordinate the assessments in accordance with defined parameters.,,,,,
8.3.4.3.2,Candidate Qualification Assessment,,Level 5,"The ability to determine and document if and how candidates are qualified, by assessing them against the statement of merit criteria, utilizing a variety of assessment methods.",,,,,
8.3.4.3.3,Inventory and Pool Management,,Level 5,The ability to manage a group of candidates and established a pool of fully or partially qualified candidates for future resourcing needs.,,,,,
8.3.4.4,Candidate Selection and Hire,,Level 4,The ability to select and hire a qualified candidate. ,,,,,
8.3.4.4.1,Candidate Selection Decision,,Level 5,The ability to select a candidate based on the statement of merit criteria.,,,,,
8.3.4.4.2,Employment Offer,,Level 5,The ability to extend a job offer to a qualified candidate.,,,,,
8.3.4.4.3,Hire,,Level 5,The ability to implement a job hire upon accepted offer. ,,,,,
8.3.5,Employment Conditions and Labour Relations,,Level 3,"The ability  to manage the relations between the workforce, bargaining agents and management.",,,,,
8.3.5.1,Employment Conditions and Bargaining,,Level 4,"The ability  to manage the relations between the workforce, bargaining agents and management.",,,,,
8.3.5.1.1,Labour Negotiation Management,,Level 5,The ability to manage and maintain the negotiation process,,,,,
8.3.5.1.1.1,Essential Services Management,,Level 6,"The ability to establish and manage essential service agreements, as well as to manage individuals occupying positions deemed essential.",,,,,
8.3.5.1.1.2,Labour Activity Management,,Level 6,The ability to prepare for and manage a disruption in the workforce such as union activities and strikes.,,,,,
8.3.5.1.1.3,Negotiation Strategy Determination,,Level 6,The ability to determine the Employer's strategy and approach for each round of negotiation.,,,,,
8.3.5.1.1.4,Negotiation Preparation and Support,,Level 6,"The ability to prepare for negotiations by preforming research, preparing proposals, and by providing guidance and support to the negotiation team before and during formal negotiations.",,,,,
8.3.5.1.1.5,Negotiating,,Level 6,The ability to negotiate with bargaining agents to reach an agreement.,,,,,
8.3.5.1.2,Employment Conditions Establishment,,Level 5,"The ability to establish terms and conditions of employment for the workforce not subject to collective agreements, which includes excluded and unrepresented employees, students, and casual workers.",,,,,
8.3.5.1.3,Salary/Non Salary Administration,,Level 5,"The ability to determine and to manage pay rules outside of the collective agreement such as performance pay, allowances, SAM/IAM, etc",,,,,
8.3.5.1.4,Agreement Implementation,,Level 5,"The ability to implement an established agreement. Examples include, Collective agreement, NJC agreements, employment conditions.",,,,,
8.3.5.1.5,Collective Agreement Management,,Level 5,The ability to manage current collective agreements.,,,,,
8.3.5.1.5.1,Collective Agreement Administration ,,Level 6,"The ability to interpret, implement and maintain the clauses of a collective agreement with all stakeholders.",,,,,
8.3.5.2,Recourse and Redress,,Level 4,"The ability  to identify a perceived violation and request remedial measures. (ex: Grievance, harassment).",,,,,
8.3.5.2.1,Incident Management,,Level 5,"The ability to manage incidents related to the workplace. Examples include, refusal to work, violence in the workplace.",,,,,
8.3.5.2.2,Investigations Management,,Level 5,The ability to gather evidence and provide a summary of the incident.,,,,,
8.3.5.2.3,Legislated Complaints and Grievance Management,,Level 5,"The ability to receive and respond to complaints and grievances according to the proper instrument such as legislation and policy instruments, and collective agreements. This includes both labour and classification grievances, staffing complaints, OL and employment equity complaints and workplace matters.",,,,,
8.3.5.2.4,Adjudication Management,,Level 5,The ability to review evidence and arguments of all parties to come to a legally binding decision. ,,,,,
8.3.5.2.5,Recourse and Redress Outcome Management,,Level 5,"The ability to gather evidence, provide recommendations based on facts and precedents, and implement decisions, including corrective actions, disciplinary measures, tribunal and adjudication decisions, etc.",,,,,
8.3.5.2.5.1,Decision Recommendations,,Level 6,"The ability to recommend a course of action based on the outcomes of incidents, investigations, grievances, complaints, or adjudication. ",,,,,
8.3.5.2.5.2,Decision Implementation ,,Level 6,"The ability to choose a course of action and implement the decision, such as a corrective action or a disciplinary measure. ",,,,,
8.3.5.3,Labour Management Relations,,Level 4,The ability to manage the relationship between the union and the employer.,,,,,
8.3.5.3.1,Employer/Bargaining Partnership Management,,Level 5,"The ability to manage relationships with bargaining agents and labour management initiatives such as LMCC, NJC directive implementation and other major initiatives. ",,,,,
8.3.5.3.1.1,Major Initiatives Management,,Level 6,"The ability to manage an unforeseen event in the workplace that has impact on the workforce and the ability to pursue ongoing operations. Examples, natural disaster, accident, pandemic, terrorism. ",,,,,
8.3.5.3.2,Union Accreditation,,Level 5,The ability to manage the accreditation of unions.,,,,,
8.3.5.3.3,Managerial/Confidential Exclusions,,Level 5,The ability to manage the exclusions of positions.,,,,,
8.3.6,Total Compensation and Rewards,,Level 3,"The ability to implement the total compensation, benefits, payroll, and pension programs.",,,,,
8.3.6.1,Compensation Management,,Level 4,The ability to manage the compensation structure of the GC.,,,,,
8.3.6.1.1,Wage Structure Management,,Level 5,The ability to ensure salary groups and pay steps are managed in accordance with the collective agreement and legislated increased such as economic increases.,,,,,
8.3.6.2,Compensation Operations,,Level 4,The ability to manage the determination of pay for employees.,,,,,
8.3.6.2.1,Compensation Rules Administration,,Level 5,"The ability to administer compensation rules as per requirements outlined in Such as collective agreements, pay directives, Terms and Conditions of Employment. ",,,,,
8.3.6.2.1.1,Allowance and Entitlement Application,,Level 6,"The ability to apply compensation allowances such as bilingual bonus, boot allowance and other collectively bargained entitlements, to an employees wage. ",,,,,
8.3.6.2.1.2,Compensation Adjustment Management,,Level 6,"The ability to apply compensation adjustments that lead to a change in pay such as, salary increments, retroactive pay, performance pay and acting assignments. ",,,,,
8.3.6.2.1.3,Compensation Recovery Management,,Level 6,The ability to recover overpayments from an employee to due a compensation error. ,,,,,
8.3.6.2.2,Compensation Verification ,,Level 5,The ability to ensure compensation transactions are accurate by reviewing transactions before payments. ,,,,,
8.3.6.3,Payroll Management,,Level 4,The ability to manage the payment to employees.,,,,,
8.3.6.3.1,Payroll Calculation,,Level 5,"The ability to calculate employees pay and deductions, such CPP, EI, tax, pension.",,,,,
8.3.6.3.2,Disbursement of Pay,,Level 5,The ability to pay employees as per the applicable/relevant policies and directives. ,,,,,
8.3.6.3.3,Disburse Legislated Payments,,Level 5,The ability to calculate and pay Tax and Regulatory payments.,,,,,
8.3.6.4,Pension Management,,Level 4,The ability to manage the workplace pension plan.,,,,,
8.3.6.4.1,Pension Governance,,Level 5,The ability to finance and fund the pension program. ,,,,,
8.3.6.4.2,Pension Eligibility Management,,Level 5,The ability to determine if an employee is eligible for the pension plan.,,,,,
8.3.6.4.3,Pension Plan Administration ,,Level 5,The ability to administer the government pension plan.,,,,,
8.3.6.4.3.1,Pension Plan Enrollment Management,,Level 6,The ability to determine eligible employees and their requirements under the plan.,,,,,
8.3.6.4.3.2,Pensioner Management,,Level 6,The ability to manage the relationship with the former employees eligible to or collecting pension after their departure from the GC.,,,,,
8.3.6.5,Insurance Benefits Management,,Level 4,The ability to manage the workplace benefits plan.,,,,,
8.3.6.5.1,Insurance Plan Governance,,Level 5,The ability to finance and fund the insurance benefits program. ,,,,,
8.3.6.5.1.1,Insurance Provider Selection,,Level 6,The ability to establish and acquire an insurance administrator.,,,,,
8.3.6.5.1.2,Insurance Provider Oversight,,Level 6,The ability to monitor and maintain service agreements between the government and the service provider. ,,,,,
8.3.6.5.2,Insurance Plan Administration,,Level 5,The ability to administer the insurance plan as per the guidelines.,,,,,
8.3.6.5.2.1,Eligibility Management,,Level 6,The ability to determine if an employee is eligible for group benefits.,,,,,
8.3.6.5.2.2,Insurance Plan Enrollment Management,,Level 6,The ability to enroll the employee in group insurance.,,,,,
8.3.6.5.2.3,Plan Management,,Level 6,"The ability to set premiums, contributions and manage coverage changes. ",,,,,
8.3.6.5.2.4,Appeals Management,,Level 6,The ability to review and decide on appeals from plan members. ,,,,,
8.3.7,Workforce Management,,Level 3,"The ability to optimize the productivity and engagement of the workforce, ensuring resources are correctly aligned to achieve objectives. ",,,,,
8.3.7.1,Workforce Engagement,,Level 4,The ability to engage with the workforce to achieve employee satisfaction and productivity. ,,,,,
8.3.7.1.1,Workforce Relationship Management,,Level 5,The ability to manage the relationship between the employer and the workforce.,,,,,
8.3.7.1.1.1,Values and Ethics and Code of Conduct Implementation ,,Level 6,The ability to ensure the Code of Values and Ethics and the Code of Conduct are maintained in the GC.,,,,,
8.3.7.1.1.2,Employment Conditions Maintenance Management,,Level 6,The ability to document how the workforce meets the employment conditions and maintains them.,,,,,
8.3.7.1.1.3,Political Activities Management,,Level 6,The ability to inform employees about the requirement for their political activity involvement.,,,,,
8.3.7.1.1.4,Workforce Feedback Management,,Level 6,"The ability to encourage and engage the workforce in various forms of feedback such as, PSES, informal sessions, surveys, etc.",,,,,
8.3.7.1.1.5,Post Employment Management,,Level 6,The ability to manage the relationship with the employee after their departure and ensure post employment measures are in place.,,,,,
8.3.7.1.1.6,Workforce Location Management,,Level 6,The ability to determine locations of work for an employee and documenting requirements and ensuing arrangements. ,,,,,
8.3.7.1.2,Onboarding,,Level 5,The ability to orient a new worker upon appointment to a new position to facilitate their integration to the workforce and them undertaking their duties. ,,,,,
8.3.7.1.3,Offboarding,,Level 5,The ability to manage a worker's departure from their position.,,,,,
8.3.7.1.4,Workforce Communication Management,,Level 5,"The ability to issue communication to members of the workforce including, employees, casuals, candidates, pensioners, students etc.",,,,,
8.3.7.1.4.1,Individual Communication Management,,Level 6,"The ability to communicate a formal decision or information pertaining to one individual, such as a grievance decision, complaint decision, classification decision, staffing decision, performance award allotment, recognition award, etc.",,,,,
8.3.7.1.4.2,Group Communication Management,,Level 6,"The ability to communicate a decision or information to all or a portion of the workforce for recourse right, such as appointment notifications, conversion notifications etc.",,,,,
8.3.7.1.4.3,HR Program Communication,,Level 6,"The ability to communicate with employees on new or changing programs. Examples include OL updates, D&I initiatives, Conversion Updates.",,,,,
8.3.7.1.5,Network Facilitation,,Level 5,"The ability to support the organization of working groups, committees and informal sessions with employees.",,,,,
